"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2011","1,544.82","1,620.30","1,641.81","1,479.96","914.52M","-0.97%"
"11/01/2011","1,560.03","1,594.58","1,629.33","1,481.49","1.17B","-3.07%"
"10/01/2011","1,609.48","1,408.71","1,650.72","1,387.99","1.31B","8.53%"
"09/01/2011","1,483.01","1,535.29","1,572.44","1,360.25","1.38B","-2.96%"
"08/01/2011","1,528.23","1,784.03","1,798.05","1,362.83","1.78B","-13.16%"
"07/01/2011","1,759.78","1,782.02","1,846.02","1,749.39","1.16B","-0.20%"
"06/01/2011","1,763.26","1,831.66","1,841.04","1,683.61","1.17B","-3.61%"
"05/01/2011","1,829.35","1,898.96","1,924.75","1,736.89","1.18B","-3.17%"
"04/01/2011","1,889.16","1,815.63","1,912.81","1,784.71","1.49B","4.06%"
"03/01/2011","1,815.43","1,661.54","1,815.43","1,624.74","1.33B","8.21%"
"02/01/2011","1,677.69","1,786.07","1,816.78","1,674.64","941.24M","-5.59%"
"01/01/2011","1,776.97","1,779.91","1,829.83","1,762.48","1.37B","0.43%"
"12/01/2010","1,769.42","1,618.57","1,771.80","1,614.54","1.25B","9.49%"
"11/01/2010","1,616.05","1,565.25","1,648.48","1,558.51","1.42B","3.63%"
"10/01/2010","1,559.44","1,559.14","1,601.14","1,527.13","1.27B","0.01%"
"09/01/2010","1,559.26","1,470.42","1,562.52","1,465.50","1.14B","6.60%"
"08/01/2010","1,462.66","1,509.39","1,531.27","1,449.67","1.10B","-2.40%"
"07/01/2010","1,498.58","1,432.52","1,517.76","1,399.27","1.27B","3.90%"
"06/01/2010","1,442.36","1,406.84","1,495.40","1,396.60","1.17M","1.97%"
"05/01/2010","1,414.43","1,511.47","1,515.54","1,334.04","1.30M","-6.81%"
"04/01/2010","1,517.77","1,478.15","1,534.56","1,478.15","1.41M","2.88%"
"03/01/2010","1,475.24","1,404.15","1,490.12","1,400.53","1.11M","6.54%"
"02/01/2010","1,384.73","1,404.66","1,432.37","1,355.70","919.38K","-1.31%"
